Book-Title,Book-Author,Year-Of-Publication,num_ratings,avg_rating,Image-URL-M
Wild Animus,Rich Shapero,2004,2502,1.0195843325339728,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg
The Lovely Bones: A Novel,Alice Sebold,2002,1295,4.468725868725869,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
The Da Vinci Code,Dan Brown,2003,898,4.642538975501114,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
A Painted House,John Grisham,2001,838,3.231503579952267,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg
The Nanny Diaries: A Novel,Emma McLaughlin,2002,828,3.5301932367149758,http://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg
Bridget Jones's Diary,Helen Fielding,1997,815,3.5276073619631902,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg
The Secret Life of Bees,Sue Monk Kidd,2003,774,4.447028423772609,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,740,3.437837837837838,http://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),Anita Diamant,1998,723,4.334716459197787,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg
Angels &amp; Demons,Dan Brown,2001,670,3.708955223880597,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg
Life of Pi,Yann Martel,2002,664,4.088855421686747,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg
Snow Falling on Cedars,David Guterson,1994,662,3.2522658610271904,http://images.amazon.com/images/P/0151001006.01.MZZZZZZZ.jpg
The Summons,John Grisham,2002,655,3.43206106870229,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg
The Notebook,Nicholas Sparks,1998,650,3.56,http://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg
The Testament,John Grisham,1999,617,3.179902755267423,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg
House of Sand and Fog,Andre Dubus III,2000,588,3.0306122448979593,http://images.amazon.com/images/P/0375727345.01.MZZZZZZZ.jpg
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,585,4.105982905982906,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg
